HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N44.HOG0000159	OG0000212	n0				AF303741.1_00124 hypothetical protein							HF920633.1_00074 hypothetical protein	HF920637.1_00144 HF920637.1 - hypothetical protein translation		KF938901.1_00045 hypothetical protein																																																										
N44.HOG0000160	OG0000213	n0				AF303741.1_00135 hypothetical protein							HF920633.1_00087 hypothetical protein	HF920637.1_00167 HF920637.1 - hypothetical protein translation		KF938901.1_00090 hypothetical protein																																																										
N44.HOG0000161	OG0000214	n0				AF303741.1_00159 hypothetical protein							HF920633.1_00041 hypothetical protein	HF920637.1_00040 HF920637.1 - hypothetical protein translation		KF938901.1_00155 hypothetical protein																																																										
N44.HOG0000162	OG0000215	n0				AF303741.1_00160 hypothetical protein							HF920633.1_00013 hypothetical protein	HF920637.1_00195 HF920637.1 - hypothetical protein translation		KF938901.1_00035 hypothetical protein																																																										
N44.HOG0000163	OG0000216	n0				AF303741.1_00175 hypothetical protein							HF920633.1_00113 hypothetical protein	HF920637.1_00012 HF920637.1 - hypothetical protein translation		KF938901.1_00062 hypothetical protein																																																										
N44.HOG0000164	OG0000217	n0				AF303741.1_00203 hypothetical protein							HF920633.1_00037 hypothetical protein	HF920637.1_00022 HF920637.1 - hypothetical protein translation		KF938901.1_00107 hypothetical protein																																																										
N44.HOG0000165	OG0000218	n0				AF303741.1_00204 hypothetical protein							HF920633.1_00155 hypothetical protein	HF920637.1_00021 HF920637.1 - hypothetical protein translation		KF938901.1_00154 hypothetical protein																																																										
N44.HOG0000166	OG0000220	n0							AY521625.1_00023 AY521625.1 - hypothetical protein translation										Lymph_LDV3_KX643370_00106 hypothetical protein												MN803438.1_00110 hypothetical protein																							NC_005946.1_00051 hypothetical protein																				
N44.HOG0000167	OG0000221	n0							AY521625.1_00057 AY521625.1 - hypothetical protein translation										Lymph_LDV3_KX643370_00005 hypothetical protein		MF599468.1_00062 MF599468.1 - hypothetical protein translation										MN803438.1_00140 hypothetical protein																																											
N44.HOG0000168	OG0000222	n0							AY521625.1_00061 AY521625.1 - hypothetical protein translation										Lymph_LDV3_KX643370_00046 hypothetical protein												MN803438.1_00008 hypothetical protein																							NC_005946.1_00088 hypothetical protein																				
N44.HOG0000169	OG0000223	n0							AY521625.1_00094 AY521625.1 - hypothetical protein translation										Lymph_LDV3_KX643370_00054 hypothetical protein												MN803438.1_00026 hypothetical protein																							NC_005946.1_00096 hypothetical protein																				
N44.HOG0000170	OG0000224	n0							AY521625.1_00116 AY521625.1 - hypothetical protein translation										Lymph_LDV3_KX643370_00146 hypothetical protein												MN803438.1_00136 hypothetical protein																							NC_005946.1_00015 hypothetical protein																				
N44.HOG0000171	OG0000225	n0							AY521625.1_00128 AY521625.1 - hypothetical protein translation										Lymph_LDV3_KX643370_00102 hypothetical protein												MN803438.1_00099 hypothetical protein																							NC_005946.1_00073 hypothetical protein																				
N44.HOG0000172	OG0000226	n0																	Lymph_LDV3_KX643370_00019 hypothetical protein, Lymph_LDV3_KX643370_00024 G-protein coupled receptor US28												MN803438.1_00081 G-protein coupled receptor US28, MN803438.1_00039 G-protein coupled receptor US28																																											
N44.HOG0000173	OG0000227	n0																	Lymph_LDV3_KX643370_00035 hypothetical protein, Lymph_LDV3_KX643370_00071 hypothetical protein												MN803438.1_00050 hypothetical protein, MN803438.1_00061 hypothetical protein																																											
N44.HOG0000174	OG0000228	n0																	Lymph_LDV3_KX643370_00142 hypothetical protein, Lymph_LDV3_KX643370_00062 hypothetical protein												MN803438.1_00133 hypothetical protein, MN803438.1_00072 hypothetical protein																																											
N44.HOG0000175	OG0000229	n0																	Lymph_LDV3_KX643370_00084 hypothetical protein, Lymph_LDV3_KX643370_00074 hypothetical protein												MN803438.1_00087 hypothetical protein, MN803438.1_00058 hypothetical protein																																											
N44.HOG0000176	OG0000230	n0																		LS484712.1_00024 Golgi anti-apoptotic protein										OM037668.1_00017 Golgi anti-apoptotic protein				OM037668.1_00017 Golgi anti-apoptotic protein																										OM037668.1_00017 Golgi anti-apoptotic protein														
N44.HOG0000177	OG0000231	n0																		LS484712.1_00156 hypothetical protein, LS484712.1_00161 hypothetical protein, LS484712.1_00154 hypothetical protein, LS484712.1_00158 hypothetical protein																																																						
N44.HOG0000178	OG0000232	n0																		LS484712.1_00249 hypothetical protein, LS484712.1_00229 hypothetical protein, LS484712.1_00231 hypothetical protein, LS484712.1_00227 hypothetical protein																																																						
N44.HOG0000179	OG0000233	n0																												OM037668.1_00063 hypothetical protein				OM037668.1_00063 hypothetical protein																				NC_005946.1_00007 hypothetical protein						OM037668.1_00063 hypothetical protein														
N44.HOG0000180	OG0000234	-				AF303741.1_00028 hypothetical protein							HF920633.1_00016 hypothetical protein			KF938901.1_00038 hypothetical protein																																																										
N44.HOG0000181	OG0000235	-				AF303741.1_00053 hypothetical protein								HF920637.1_00053 HF920637.1 - hypothetical protein translation		KF938901.1_00015 hypothetical protein																																																										
N44.HOG0000182	OG0000236	-				AF303741.1_00077 hypothetical protein								HF920637.1_00090 HF920637.1 - hypothetical protein translation							MF599468.1_00072 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000183	OG0000237	-				AF303741.1_00093 hypothetical protein								HF920637.1_00174 HF920637.1 - hypothetical protein translation		KF938901.1_00016 hypothetical protein																																																										
N44.HOG0000184	OG0000238	-				AF303741.1_00115 hypothetical protein							HF920633.1_00070 hypothetical protein			KF938901.1_00018 hypothetical protein																																																										
N44.HOG0000185	OG0000239	-				AF303741.1_00116 hypothetical protein							HF920633.1_00167 hypothetical protein			KF938901.1_00040 hypothetical protein																																																										
N44.HOG0000186	OG0000240	-				AF303741.1_00190 hypothetical protein								HF920637.1_00203 HF920637.1 - hypothetical protein translation							MF599468.1_00039 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000187	OG0000241	-				AF303741.1_00201 hypothetical protein								HF920637.1_00063 HF920637.1 - hypothetical protein translation		KF938901.1_00122 hypothetical protein																																																										
N44.HOG0000188	OG0000242	-				AF303741.1_00202 hypothetical protein								HF920637.1_00064 HF920637.1 - hypothetical protein translation							MF599468.1_00107 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000189	OG0000243	-							AY521625.1_00010 AY521625.1 - hypothetical protein translation										Lymph_LDV3_KX643370_00037 hypothetical protein																																			NC_005946.1_00034 hypothetical protein																				
N44.HOG0000190	OG0000244	-							AY521625.1_00043 AY521625.1 - hypothetical protein translation										Lymph_LDV3_KX643370_00151 hypothetical protein																																			NC_005946.1_00064 hypothetical protein																				
N44.HOG0000191	OG0000245	-							AY521625.1_00055 AY521625.1 - hypothetical protein translation										Lymph_LDV3_KX643370_00148 hypothetical protein												MN803438.1_00004 hypothetical protein																																											
N44.HOG0000192	OG0000246	-							AY521625.1_00142 AY521625.1 - hypothetical protein translation					HF920637.1_00015 HF920637.1 - hypothetical protein translation																																								NC_005946.1_00092 hypothetical protein																				
N44.HOG0000193	OG0000247	-											HF920633.1_00012 hypothetical protein			KF938901.1_00034 hypothetical protein, KF938901.1_00032 hypothetical protein																																																										
N44.HOG0000194	OG0000248	-											HF920633.1_00060 hypothetical protein			KF938901.1_00050 hypothetical protein				LS484712.1_00207 hypothetical protein																																																						
N44.HOG0000195	OG0000249	-											HF920633.1_00159 hypothetical protein			KF938901.1_00083 hypothetical protein				LS484712.1_00206 hypothetical protein																																																						
N44.HOG0000196	OG0000250	-											HF920633.1_00164 hypothetical protein			KF938901.1_00013 hypothetical protein				LS484712.1_00201 hypothetical protein																																																						
N44.HOG0000197	OG0000251	-																	Lymph_LDV3_KX643370_00045 hypothetical protein, Lymph_LDV3_KX643370_00087 hypothetical protein												MN803438.1_00075 hypothetical protein																																											
N44.HOG0000198	OG0000252	-																	Lymph_LDV3_KX643370_00105 hypothetical protein												MN803438.1_00103 hypothetical protein, MN803438.1_00053 hypothetical protein																																											
N44.HOG0000199	OG0000253	-																		LS484712.1_00157 hypothetical protein, LS484712.1_00160 hypothetical protein, LS484712.1_00155 hypothetical protein																																																						
N44.HOG0000200	OG0000254	-																		LS484712.1_00232 hypothetical protein, LS484712.1_00230 hypothetical protein, LS484712.1_00228 hypothetical protein																																																						
N44.HOG0000201	OG0000255	-																		LS484712.1_00265 hypothetical protein, LS484712.1_00264 hypothetical protein, LS484712.1_00263 hypothetical protein																																																						
N44.HOG0000202	OG0000256	-																		LS484712.1_00271 hypothetical protein, LS484712.1_00272 hypothetical protein, LS484712.1_00273 hypothetical protein																																																						
N44.HOG0000203	OG0000257	-																												OM037668.1_00002 hypothetical protein				OM037668.1_00002 hypothetical protein																										OM037668.1_00002 hypothetical protein														
N44.HOG0000204	OG0000258	-																												OM037668.1_00007 hypothetical protein				OM037668.1_00007 hypothetical protein																										OM037668.1_00007 hypothetical protein														
N44.HOG0000205	OG0000259	-																												OM037668.1_00010 hypothetical protein				OM037668.1_00010 hypothetical protein																										OM037668.1_00010 hypothetical protein														
N44.HOG0000206	OG0000260	-																												OM037668.1_00012 hypothetical protein				OM037668.1_00012 hypothetical protein																										OM037668.1_00012 hypothetical protein														
N44.HOG0000207	OG0000261	-																												OM037668.1_00014 hypothetical protein				OM037668.1_00014 hypothetical protein																										OM037668.1_00014 hypothetical protein														
N44.HOG0000208	OG0000262	-																												OM037668.1_00025 hypothetical protein				OM037668.1_00025 hypothetical protein																										OM037668.1_00025 hypothetical protein														
N44.HOG0000209	OG0000263	-																												OM037668.1_00026 hypothetical protein				OM037668.1_00026 hypothetical protein																										OM037668.1_00026 hypothetical protein														
N44.HOG0000210	OG0000264	-																												OM037668.1_00027 hypothetical protein				OM037668.1_00027 hypothetical protein																										OM037668.1_00027 hypothetical protein														
N44.HOG0000211	OG0000265	-																												OM037668.1_00029 hypothetical protein				OM037668.1_00029 hypothetical protein																										OM037668.1_00029 hypothetical protein														
N44.HOG0000212	OG0000266	-																												OM037668.1_00034 hypothetical protein				OM037668.1_00034 hypothetical protein																										OM037668.1_00034 hypothetical protein														
N44.HOG0000213	OG0000267	-																												OM037668.1_00037 hypothetical protein				OM037668.1_00037 hypothetical protein																										OM037668.1_00037 hypothetical protein														
N44.HOG0000214	OG0000268	-																												OM037668.1_00039 hypothetical protein				OM037668.1_00039 hypothetical protein																										OM037668.1_00039 hypothetical protein														
N44.HOG0000215	OG0000269	-																												OM037668.1_00044 hypothetical protein				OM037668.1_00044 hypothetical protein																										OM037668.1_00044 hypothetical protein														
N44.HOG0000216	OG0000270	-																												OM037668.1_00049 hypothetical protein				OM037668.1_00049 hypothetical protein																										OM037668.1_00049 hypothetical protein														
N44.HOG0000217	OG0000271	-																												OM037668.1_00052 hypothetical protein				OM037668.1_00052 hypothetical protein																										OM037668.1_00052 hypothetical protein														
N44.HOG0000218	OG0000272	-																												OM037668.1_00055 hypothetical protein				OM037668.1_00055 hypothetical protein																										OM037668.1_00055 hypothetical protein														
N44.HOG0000219	OG0000273	-																												OM037668.1_00058 hypothetical protein				OM037668.1_00058 hypothetical protein																										OM037668.1_00058 hypothetical protein														
N44.HOG0000220	OG0000274	-																												OM037668.1_00060 hypothetical protein				OM037668.1_00060 hypothetical protein																										OM037668.1_00060 hypothetical protein														
N44.HOG0000221	OG0000275	-																												OM037668.1_00061 hypothetical protein				OM037668.1_00061 hypothetical protein																										OM037668.1_00061 hypothetical protein														
N44.HOG0000222	OG0000276	-																												OM037668.1_00065 hypothetical protein				OM037668.1_00065 hypothetical protein																										OM037668.1_00065 hypothetical protein														
N44.HOG0000223	OG0000277	-																												OM037668.1_00069 hypothetical protein				OM037668.1_00069 hypothetical protein																										OM037668.1_00069 hypothetical protein														
N44.HOG0000224	OG0000278	-																												OM037668.1_00070 hypothetical protein				OM037668.1_00070 hypothetical protein																										OM037668.1_00070 hypothetical protein														
N44.HOG0000225	OG0000279	-																												OM037668.1_00072 hypothetical protein				OM037668.1_00072 hypothetical protein																										OM037668.1_00072 hypothetical protein														
N44.HOG0000226	OG0000280	-																												OM037668.1_00092 hypothetical protein				OM037668.1_00092 hypothetical protein																										OM037668.1_00092 hypothetical protein														
N44.HOG0000227	OG0000281	-																												OM037668.1_00093 hypothetical protein				OM037668.1_00093 hypothetical protein																										OM037668.1_00093 hypothetical protein														
N44.HOG0000228	OG0000282	-																												OM037668.1_00094 hypothetical protein				OM037668.1_00094 hypothetical protein																										OM037668.1_00094 hypothetical protein														
N44.HOG0000229	OG0000283	-																												OM037668.1_00102 hypothetical protein				OM037668.1_00102 hypothetical protein																										OM037668.1_00102 hypothetical protein														
N44.HOG0000230	OG0000284	-																												OM037668.1_00103 hypothetical protein				OM037668.1_00103 hypothetical protein																										OM037668.1_00103 hypothetical protein														
N44.HOG0000231	OG0000285	-																												OM037668.1_00104 hypothetical protein				OM037668.1_00104 hypothetical protein																										OM037668.1_00104 hypothetical protein														
N44.HOG0000232	OG0000286	-																												OM037668.1_00107 hypothetical protein				OM037668.1_00107 hypothetical protein																										OM037668.1_00107 hypothetical protein														
N44.HOG0000233	OG0000287	-																												OM037668.1_00108 hypothetical protein				OM037668.1_00108 hypothetical protein																										OM037668.1_00108 hypothetical protein														
N44.HOG0000234	OG0000288	-																												OM037668.1_00109 hypothetical protein				OM037668.1_00109 hypothetical protein																										OM037668.1_00109 hypothetical protein														
N44.HOG0000235	OG0000289	-																												OM037668.1_00111 hypothetical protein				OM037668.1_00111 hypothetical protein																										OM037668.1_00111 hypothetical protein														
N44.HOG0000236	OG0000290	-																												OM037668.1_00112 hypothetical protein				OM037668.1_00112 hypothetical protein																										OM037668.1_00112 hypothetical protein														
N44.HOG0000237	OG0000291	-																												OM037668.1_00114 hypothetical protein				OM037668.1_00114 hypothetical protein																										OM037668.1_00114 hypothetical protein														
N44.HOG0000238	OG0000292	-																												OM037668.1_00116 hypothetical protein				OM037668.1_00116 hypothetical protein																										OM037668.1_00116 hypothetical protein														
N44.HOG0000239	OG0000293	-																												OM037668.1_00117 hypothetical protein				OM037668.1_00117 hypothetical protein																										OM037668.1_00117 hypothetical protein														
N44.HOG0000240	OG0000294	-																												OM037668.1_00118 hypothetical protein				OM037668.1_00118 hypothetical protein																										OM037668.1_00118 hypothetical protein														
N44.HOG0000241	OG0000295	-																												OM037668.1_00119 hypothetical protein				OM037668.1_00119 hypothetical protein																										OM037668.1_00119 hypothetical protein														
N44.HOG0000242	OG0000296	-																												OM037668.1_00120 hypothetical protein				OM037668.1_00120 hypothetical protein																										OM037668.1_00120 hypothetical protein														
N44.HOG0000243	OG0000297	-																												OM037668.1_00129 hypothetical protein				OM037668.1_00129 hypothetical protein																										OM037668.1_00129 hypothetical protein														
N44.HOG0000244	OG0000298	-																												SDDV_ORF016 mRNA decay activator protein				SDDV_ORF016 mRNA decay activator protein																										SDDV_ORF016 mRNA decay activator protein														
N44.HOG0000245	OG0000301	-				AF303741.1_00002 hypothetical protein							HF920633.1_00075 hypothetical protein																																																													
N44.HOG0000246	OG0000302	-				AF303741.1_00010 hypothetical protein								HF920637.1_00214 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000247	OG0000303	-				AF303741.1_00014 hypothetical protein								HF920637.1_00154 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000248	OG0000304	-				AF303741.1_00016 hypothetical protein							HF920633.1_00002 hypothetical protein																																																													
N44.HOG0000249	OG0000305	-				AF303741.1_00020 hypothetical protein								HF920637.1_00155 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000250	OG0000306	-				AF303741.1_00025 hypothetical protein								HF920637.1_00131 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000251	OG0000307	-				AF303741.1_00027 hypothetical protein								HF920637.1_00107 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000252	OG0000308	-				AF303741.1_00034 hypothetical protein								HF920637.1_00103 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000253	OG0000309	-				AF303741.1_00040 hypothetical protein								HF920637.1_00191 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000254	OG0000310	-				AF303741.1_00043 hypothetical protein							HF920633.1_00178 hypothetical protein																																																													
N44.HOG0000255	OG0000311	-				AF303741.1_00045 hypothetical protein								HF920637.1_00186 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000256	OG0000312	-				AF303741.1_00048 hypothetical protein							HF920633.1_00166 hypothetical protein																																																													
N44.HOG0000257	OG0000313	-				AF303741.1_00050 hypothetical protein								HF920637.1_00179 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000258	OG0000314	-				AF303741.1_00052 hypothetical protein								HF920637.1_00055 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000259	OG0000315	-				AF303741.1_00055 hypothetical protein								HF920637.1_00050 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000260	OG0000316	-				AF303741.1_00060 hypothetical protein								HF920637.1_00082 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000261	OG0000317	-				AF303741.1_00061 hypothetical protein								HF920637.1_00081 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000262	OG0000318	-				AF303741.1_00069 hypothetical protein							HF920633.1_00065 hypothetical protein																																																													
N44.HOG0000263	OG0000319	-				AF303741.1_00092 hypothetical protein								HF920637.1_00104 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000264	OG0000320	-				AF303741.1_00097 hypothetical protein								HF920637.1_00046 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000265	OG0000321	-				AF303741.1_00098 hypothetical protein								HF920637.1_00171 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000266	OG0000322	-				AF303741.1_00102 hypothetical protein								HF920637.1_00088 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000267	OG0000323	-				AF303741.1_00106 hypothetical protein								HF920637.1_00018 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000268	OG0000324	-				AF303741.1_00111 hypothetical protein							HF920633.1_00140 hypothetical protein																																																													
N44.HOG0000269	OG0000325	-				AF303741.1_00113 hypothetical protein								HF920637.1_00006 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000270	OG0000326	-				AF303741.1_00118 hypothetical protein								HF920637.1_00126 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000271	OG0000327	-				AF303741.1_00119 hypothetical protein								HF920637.1_00125 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000272	OG0000328	-				AF303741.1_00131 hypothetical protein								HF920637.1_00135 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000273	OG0000329	-				AF303741.1_00139 hypothetical protein								HF920637.1_00207 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000274	OG0000330	-				AF303741.1_00140 hypothetical protein								HF920637.1_00202 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000275	OG0000331	-				AF303741.1_00143 hypothetical protein								HF920637.1_00209 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000276	OG0000332	-				AF303741.1_00155 hypothetical protein								HF920637.1_00032 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000277	OG0000333	-				AF303741.1_00163 hypothetical protein								HF920637.1_00023 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000278	OG0000334	-				AF303741.1_00166 hypothetical protein								HF920637.1_00002 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000279	OG0000335	-				AF303741.1_00167 hypothetical protein								HF920637.1_00185 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000280	OG0000336	-				AF303741.1_00172 hypothetical protein								HF920637.1_00134 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000281	OG0000337	-				AF303741.1_00180 hypothetical protein							HF920633.1_00176 hypothetical protein																																																													
N44.HOG0000282	OG0000338	-				AF303741.1_00186 hypothetical protein							HF920633.1_00055 hypothetical protein																																																													
N44.HOG0000283	OG0000339	-				AF303741.1_00187 hypothetical protein								HF920637.1_00173 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000284	OG0000340	-				AF303741.1_00196 hypothetical protein								HF920637.1_00030 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000285	OG0000341	-				AF303741.1_00198 hypothetical protein								HF920637.1_00007 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000286	OG0000342	-				AF303741.1_00199 hypothetical protein								HF920637.1_00076 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000287	OG0000343	-							AY521625.1_00008 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00035 hypothetical protein																				
N44.HOG0000288	OG0000344	-							AY521625.1_00013 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00005 hypothetical protein																				
N44.HOG0000289	OG0000345	-							AY521625.1_00015 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00003 hypothetical protein																				
N44.HOG0000290	OG0000346	-							AY521625.1_00020 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00047 hypothetical protein																				
N44.HOG0000291	OG0000347	-							AY521625.1_00039 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00018 hypothetical protein																				
N44.HOG0000292	OG0000348	-							AY521625.1_00052 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00012 hypothetical protein																				
N44.HOG0000293	OG0000349	-							AY521625.1_00063 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00090 hypothetical protein																				
N44.HOG0000294	OG0000350	-							AY521625.1_00068 AY521625.1 - hypothetical protein translation, AY521625.1_00088 AY521625.1 - hypothetical protein translation																																																																	
N44.HOG0000295	OG0000351	-							AY521625.1_00072 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00081 hypothetical protein																				
N44.HOG0000296	OG0000352	-							AY521625.1_00075 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00084 hypothetical protein																				
N44.HOG0000297	OG0000353	-							AY521625.1_00089 AY521625.1 - viral Ubiquitin translation												MF599468.1_00076 MF599468.1 - viral Ubiquitin translation																																																					
N44.HOG0000298	OG0000354	-							AY521625.1_00090 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00013 hypothetical protein																				
N44.HOG0000299	OG0000355	-							AY521625.1_00102 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00079 hypothetical protein																				
N44.HOG0000300	OG0000356	-							AY521625.1_00104 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00080 hypothetical protein																				
N44.HOG0000301	OG0000357	-							AY521625.1_00105 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00059 hypothetical protein																				
N44.HOG0000302	OG0000358	-							AY521625.1_00113 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00017 hypothetical protein																				
N44.HOG0000303	OG0000359	-							AY521625.1_00117 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00077 hypothetical protein																				
N44.HOG0000304	OG0000360	-							AY521625.1_00118 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00076 hypothetical protein																				
N44.HOG0000305	OG0000361	-							AY521625.1_00119 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00072 hypothetical protein																				
N44.HOG0000306	OG0000362	-							AY521625.1_00123 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00069 hypothetical protein																				
N44.HOG0000307	OG0000363	-							AY521625.1_00124 AY521625.1 - hypothetical protein translation, AY521625.1_00125 AY521625.1 - hypothetical protein translation																																																																	
N44.HOG0000308	OG0000364	-							AY521625.1_00131 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00056 hypothetical protein																				
N44.HOG0000309	OG0000365	-							AY521625.1_00137 AY521625.1 - hypothetical protein translation																																													NC_005946.1_00058 hypothetical protein																				
N44.HOG0000310	OG0000366	-											HF920633.1_00005 hypothetical protein			KF938901.1_00026 hypothetical protein																																																										
N44.HOG0000311	OG0000367	-											HF920633.1_00006 hypothetical protein			KF938901.1_00028 hypothetical protein																																																										
N44.HOG0000312	OG0000368	-											HF920633.1_00015 hypothetical protein			KF938901.1_00037 hypothetical protein																																																										
N44.HOG0000313	OG0000369	-											HF920633.1_00033 hypothetical protein			KF938901.1_00149 hypothetical protein																																																										
N44.HOG0000314	OG0000370	-											HF920633.1_00042 hypothetical protein			KF938901.1_00110 hypothetical protein																																																										
N44.HOG0000315	OG0000371	-											HF920633.1_00045 hypothetical protein			KF938901.1_00041 hypothetical protein																																																										
N44.HOG0000316	OG0000372	-											HF920633.1_00048 hypothetical protein			KF938901.1_00068 hypothetical protein																																																										
N44.HOG0000317	OG0000373	-											HF920633.1_00049 hypothetical protein			KF938901.1_00004 hypothetical protein																																																										
N44.HOG0000318	OG0000374	-											HF920633.1_00051 hypothetical protein			KF938901.1_00078 hypothetical protein																																																										
N44.HOG0000319	OG0000375	-											HF920633.1_00052 hypothetical protein			KF938901.1_00011 hypothetical protein																																																										
N44.HOG0000320	OG0000376	-											HF920633.1_00066 hypothetical protein			KF938901.1_00059 hypothetical protein																																																										
N44.HOG0000321	OG0000377	-											HF920633.1_00078 hypothetical protein			KF938901.1_00042 hypothetical protein																																																										
N44.HOG0000322	OG0000378	-											HF920633.1_00089 hypothetical protein			KF938901.1_00096 hypothetical protein																																																										
N44.HOG0000323	OG0000379	-											HF920633.1_00090 hypothetical protein			KF938901.1_00051 hypothetical protein																																																										
N44.HOG0000324	OG0000380	-											HF920633.1_00095 hypothetical protein			KF938901.1_00002 hypothetical protein																																																										
N44.HOG0000325	OG0000381	-											HF920633.1_00111 hypothetical protein			KF938901.1_00132 hypothetical protein																																																										
N44.HOG0000326	OG0000382	-											HF920633.1_00112 hypothetical protein	HF920637.1_00170 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000327	OG0000383	-											HF920633.1_00115 hypothetical protein			KF938901.1_00144 hypothetical protein																																																										
N44.HOG0000328	OG0000384	-											HF920633.1_00136 mRNA-decapping protein D10			KF938901.1_00087 hypothetical protein																																																										
N44.HOG0000329	OG0000385	-											HF920633.1_00137 hypothetical protein	HF920637.1_00027 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000330	OG0000386	-											HF920633.1_00141 hypothetical protein			KF938901.1_00061 hypothetical protein																																																										
N44.HOG0000331	OG0000387	-											HF920633.1_00142 hypothetical protein			KF938901.1_00071 hypothetical protein																																																										
N44.HOG0000332	OG0000388	-											HF920633.1_00151 hypothetical protein			KF938901.1_00003 hypothetical protein																																																										
N44.HOG0000333	OG0000389	-											HF920633.1_00157 hypothetical protein			KF938901.1_00129 hypothetical protein																																																										
N44.HOG0000334	OG0000390	-											HF920633.1_00162 hypothetical protein			KF938901.1_00088 hypothetical protein																																																										
N44.HOG0000335	OG0000391	-												HF920637.1_00038 HF920637.1 - hypothetical protein translation, HF920637.1_00036 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000336	OG0000392	-												HF920637.1_00037 HF920637.1 - hypothetical protein translation, HF920637.1_00039 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000337	OG0000393	-												HF920637.1_00051 HF920637.1 - hypothetical protein translation, HF920637.1_00157 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000338	OG0000394	-												HF920637.1_00178 HF920637.1 - hypothetical protein translation, HF920637.1_00066 HF920637.1 - hypothetical protein translation																																																												
