HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N10.HOG0000096	OG0000096	n0			MK689686.1_00101 hypothetical protein		MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	GQ273492.1_00100 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	MG570131.1_00100 hypothetical protein	MG570132.1_00100 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein		MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein		AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein		MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein			AF371960.1_00104 hypothetical protein		AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein					AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein		MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein		MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein		OQ475017.1_00101 OQ475017.1 - hypothetical protein translation	AF371960.1_00104 hypothetical protein			AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	
N10.HOG0000097	OG0000097	n0			MK689686.1_00106 hypothetical protein		MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	ORF100R_refgen ORF100R	MK689686.1_00106 hypothetical protein	AF371960.1_00108 hypothetical protein	MK689686.1_00106 hypothetical protein	MG570131.1_00104 hypothetical protein	MG570132.1_00104 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein		MK689686.1_00106 hypothetical protein	AF371960.1_00108 hypothetical protein		AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein		MK689686.1_00106 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	MK689686.1_00106 hypothetical protein			AF371960.1_00108 hypothetical protein		AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	MK689686.1_00106 hypothetical protein					AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein		MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein		MK689686.1_00106 hypothetical protein	AF371960.1_00108 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	AF371960.1_00108 hypothetical protein		OQ475017.1_00106 OQ475017.1 - hypothetical protein translation	AF371960.1_00108 hypothetical protein			AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	
N10.HOG0000098	OG0000098	n0			tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor		tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor		tumor necrosis factor receptor-associated factor_ref_gen tumor necrosis factor receptor-associated factor	GQ273492.1_00105 hypothetical protein	tumor necrosis factor receptor-associated factor_ref_gen tumor necrosis factor receptor-associated factor	AF371960.1_00109 hypothetical protein	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor	MG570131.1_00105 hypothetical protein	MG570132.1_00105 hypothetical protein	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor		tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor	AF371960.1_00109 hypothetical protein		AF371960.1_00109 hypothetical protein	AF371960.1_00109 hypothetical protein		tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor	AF371960.1_00109 hypothetical protein	AF371960.1_00109 hypothetical protein	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor			AF371960.1_00109 hypothetical protein		AF371960.1_00109 hypothetical protein	AF371960.1_00109 hypothetical protein	AF371960.1_00109 hypothetical protein	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor					AF371960.1_00109 hypothetical protein	AF371960.1_00109 hypothetical protein		tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor		tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor	AF371960.1_00109 hypothetical protein	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor	AF371960.1_00109 hypothetical protein		OQ475017.1_00107 OQ475017.1 - hypothetical protein translation	AF371960.1_00109 hypothetical protein			AF371960.1_00109 hypothetical protein	AF371960.1_00109 hypothetical protein	AF371960.1_00109 hypothetical protein	PQ335173_PQ335174_00040 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000099	OG0000099	n0			MK689686.1_00115 hypothetical protein		MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	GQ273492.1_00113 hypothetical protein	MK689686.1_00115 hypothetical protein	AF371960.1_00116 hypothetical protein	MK689686.1_00115 hypothetical protein	MG570131.1_00113 hypothetical protein	MG570132.1_00113 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein		MK689686.1_00115 hypothetical protein	AF371960.1_00116 hypothetical protein		AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein		MK689686.1_00115 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	MK689686.1_00115 hypothetical protein			AF371960.1_00116 hypothetical protein		AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	MK689686.1_00115 hypothetical protein					AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein		MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein		MK689686.1_00115 hypothetical protein	AF371960.1_00116 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	AF371960.1_00116 hypothetical protein		OQ475017.1_00115 OQ475017.1 - hypothetical protein translation	AF371960.1_00116 hypothetical protein			AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	
N10.HOG0000100	OG0000100	n0			MK689686.1_00103 hypothetical protein		MK689686.1_00103 hypothetical protein	MK689686.1_00103 hypothetical protein	MK689686.1_00103 hypothetical protein	GQ273492.1_00101 hypothetical protein	MK689686.1_00103 hypothetical protein	ORF106L_refgen ORF106L	MK689686.1_00103 hypothetical protein	MG570131.1_00101 hypothetical protein	MG570132.1_00101 hypothetical protein	MK689686.1_00103 hypothetical protein	MK689686.1_00103 hypothetical protein	MK689686.1_00103 hypothetical protein		MK689686.1_00103 hypothetical protein	ORF106L_ref ren ORF106L		ORF106L_refgen ORF106L	ORF106L_refgen ORF106L		MK689686.1_00103 hypothetical protein	ORF106L_ref gen ORF106L	ORF106L_ref gen ORF106L	MK689686.1_00103 hypothetical protein			ORF106L_refgen ORF106L		ORF106L_refgen ORF106L	ORF106L_refgen ORF106L	ORF106L_refgen ORF106L	MK689686.1_00103 hypothetical protein					ORF106L_refgen ORF106L	ORF106L_refgen ORF106L		MK689686.1_00103 hypothetical protein	MK689686.1_00103 hypothetical protein		MK689686.1_00103 hypothetical protein	MK689686.1_00103 hypothetical protein		MK689686.1_00103 hypothetical protein	ORF106L_refgen ORF106L	MK689686.1_00103 hypothetical protein	MK689686.1_00103 hypothetical protein	ORF106L_ref gen ORF106L		OQ475017.1_00103 OQ475017.1 - hypothetical protein translation	ORF106L_refgen ORF106L			ORF106L_refgen ORF106L	ORF106L_refgen ORF106L	ORF106L_refgen ORF106L	
N10.HOG0000101	OG0000101	n0			MK689686.1_00004 hypothetical protein		MK689686.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein	GQ273492.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein	AF371960.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein	MG570131.1_00004 hypothetical protein	MG570132.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein		MK689686.1_00004 hypothetical protein	AF371960.1_00004 hypothetical protein		AF371960.1_00004 hypothetical protein	AF371960.1_00004 hypothetical protein		MK689686.1_00004 hypothetical protein	AF371960.1_00004 hypothetical protein	AF371960.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein			AF371960.1_00004 hypothetical protein		AF371960.1_00004 hypothetical protein	AF371960.1_00004 hypothetical protein	AF371960.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein						AF371960.1_00004 hypothetical protein		MK689686.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein		MK689686.1_00004 hypothetical protein	AF371960.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein	AF371960.1_00004 hypothetical protein		OQ475017.1_00004 OQ475017.1 - hypothetical protein translation	AF371960.1_00004 hypothetical protein			AF371960.1_00004 hypothetical protein	AF371960.1_00004 hypothetical protein	AF371960.1_00004 hypothetical protein	
N10.HOG0000102	OG0000102	n0			ORF025_refgen ORF025		ORF025_refgen ORF025	ORF025_ref_gen ORF025	ORF025_ref_gen ORF025	GQ273492.1_00028 hypothetical protein	ORF025_ref_gen ORF025	AF371960.1_00029 hypothetical protein	ORF025_refgen ORF025	MG570131.1_00029 hypothetical protein	MG570132.1_00029 hypothetical protein	ORF025_refgen ORF025	ORF025_refgen ORF025	ORF025_refgen ORF025		ORF025_refgen ORF025	AF371960.1_00029 hypothetical protein		AF371960.1_00029 hypothetical protein	AF371960.1_00029 hypothetical protein		ORF025_refgen ORF025	AF371960.1_00029 hypothetical protein	AF371960.1_00029 hypothetical protein	ORF025_refgen ORF025			AF371960.1_00029 hypothetical protein		AF371960.1_00029 hypothetical protein	AF371960.1_00029 hypothetical protein	AF371960.1_00029 hypothetical protein	ORF025_refgen ORF025					AF371960.1_00029 hypothetical protein	AF371960.1_00029 hypothetical protein		ORF025_refgen ORF025	ORF025_refgen ORF025	ORF025_refgen ORF025	ORF025_refgen ORF025	ORF025_refgen ORF025		ORF025_refgen ORF025	AF371960.1_00029 hypothetical protein	ORF025_refgen ORF025	ORF025_refgen ORF025	AF371960.1_00029 hypothetical protein			AF371960.1_00029 hypothetical protein			AF371960.1_00029 hypothetical protein	AF371960.1_00029 hypothetical protein	AF371960.1_00029 hypothetical protein	
N10.HOG0000103	OG0000103	n0			MK689686.1_00033 hypothetical protein		MK689686.1_00033 hypothetical protein	MK689686.1_00033 hypothetical protein	MK689686.1_00033 hypothetical protein	GQ273492.1_00034 hypothetical protein	MK689686.1_00033 hypothetical protein	AF371960.1_00035 hypothetical protein	MK689686.1_00033 hypothetical protein	MG570131.1_00035 hypothetical protein	MG570132.1_00035 hypothetical protein	MK689686.1_00033 hypothetical protein	MK689686.1_00033 hypothetical protein	MK689686.1_00033 hypothetical protein		MK689686.1_00033 hypothetical protein	AF371960.1_00035 hypothetical protein		AF371960.1_00035 hypothetical protein	AF371960.1_00035 hypothetical protein		MK689686.1_00033 hypothetical protein	AF371960.1_00035 hypothetical protein	AF371960.1_00035 hypothetical protein	MK689686.1_00033 hypothetical protein			AF371960.1_00035 hypothetical protein		AF371960.1_00035 hypothetical protein	AF371960.1_00035 hypothetical protein	AF371960.1_00035 hypothetical protein	MK689686.1_00033 hypothetical protein					AF371960.1_00035 hypothetical protein	AF371960.1_00035 hypothetical protein		MK689686.1_00033 hypothetical protein	MK689686.1_00033 hypothetical protein	MK689686.1_00033 hypothetical protein	MK689686.1_00033 hypothetical protein	MK689686.1_00033 hypothetical protein		MK689686.1_00033 hypothetical protein	AF371960.1_00035 hypothetical protein	MK689686.1_00033 hypothetical protein	MK689686.1_00033 hypothetical protein	AF371960.1_00035 hypothetical protein		OQ475017.1_00034 OQ475017.1 - hypothetical protein translation				AF371960.1_00035 hypothetical protein	AF371960.1_00035 hypothetical protein	AF371960.1_00035 hypothetical protein	
N10.HOG0000104	OG0000104	n0			MK689686.1_00038 hypothetical protein		MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein	GQ273492.1_00039 hypothetical protein	MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein	MG570131.1_00040 hypothetical protein	MG570132.1_00040 hypothetical protein	MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein		MK689686.1_00038 hypothetical protein	AF371960.1_00040 hypothetical protein		AF371960.1_00040 hypothetical protein	AF371960.1_00040 hypothetical protein		MK689686.1_00038 hypothetical protein	AF371960.1_00040 hypothetical protein		MK689686.1_00038 hypothetical protein			AF371960.1_00040 hypothetical protein		AF371960.1_00040 hypothetical protein	AF371960.1_00040 hypothetical protein	AF371960.1_00040 hypothetical protein	MK689686.1_00038 hypothetical protein					AF371960.1_00040 hypothetical protein	AF371960.1_00040 hypothetical protein		MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein		MK689686.1_00038 hypothetical protein	AF371960.1_00040 hypothetical protein	MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein	AF371960.1_00040 hypothetical protein		OQ475017.1_00039 OQ475017.1 - hypothetical protein translation	AF371960.1_00040 hypothetical protein			AF371960.1_00040 hypothetical protein	AF371960.1_00040 hypothetical protein	AF371960.1_00040 hypothetical protein	
N10.HOG0000105	OG0000105	n0			MK689686.1_00104 hypothetical protein		MK689686.1_00104 hypothetical protein	MK689686.1_00104 hypothetical protein	MK689686.1_00104 hypothetical protein	GQ273492.1_00102 hypothetical protein	MK689686.1_00104 hypothetical protein	AF371960.1_00106 hypothetical protein	MK689686.1_00104 hypothetical protein	MG570131.1_00102 hypothetical protein	MG570132.1_00102 hypothetical protein	MK689686.1_00104 hypothetical protein	MK689686.1_00104 hypothetical protein	MK689686.1_00104 hypothetical protein		MK689686.1_00104 hypothetical protein	AF371960.1_00106 hypothetical protein		AF371960.1_00106 hypothetical protein	AF371960.1_00106 hypothetical protein		MK689686.1_00104 hypothetical protein	AF371960.1_00106 hypothetical protein	AF371960.1_00106 hypothetical protein	MK689686.1_00104 hypothetical protein			AF371960.1_00106 hypothetical protein		AF371960.1_00106 hypothetical protein	AF371960.1_00106 hypothetical protein	AF371960.1_00106 hypothetical protein	MK689686.1_00104 hypothetical protein					AF371960.1_00106 hypothetical protein	AF371960.1_00106 hypothetical protein		MK689686.1_00104 hypothetical protein	MK689686.1_00104 hypothetical protein		MK689686.1_00104 hypothetical protein	MK689686.1_00104 hypothetical protein		MK689686.1_00104 hypothetical protein	AF371960.1_00106 hypothetical protein	MK689686.1_00104 hypothetical protein	MK689686.1_00104 hypothetical protein	AF371960.1_00106 hypothetical protein		OQ475017.1_00104 OQ475017.1 - hypothetical protein translation	AF371960.1_00106 hypothetical protein			AF371960.1_00106 hypothetical protein	AF371960.1_00106 hypothetical protein	AF371960.1_00106 hypothetical protein	
N10.HOG0000106	OG0000106	n0			MK689686.1_00037 hypothetical protein		MK689686.1_00037 hypothetical protein	MK689686.1_00037 hypothetical protein	MK689686.1_00037 hypothetical protein	GQ273492.1_00038 hypothetical protein		AF371960.1_00039 hypothetical protein	MK689686.1_00037 hypothetical protein	MG570131.1_00039 hypothetical protein	MG570132.1_00039 hypothetical protein	MK689686.1_00037 hypothetical protein	MK689686.1_00037 hypothetical protein	MK689686.1_00037 hypothetical protein		MK689686.1_00037 hypothetical protein	AF371960.1_00039 hypothetical protein		AF371960.1_00039 hypothetical protein	AF371960.1_00039 hypothetical protein		MK689686.1_00037 hypothetical protein	AF371960.1_00039 hypothetical protein	AF371960.1_00039 hypothetical protein	MK689686.1_00037 hypothetical protein			AF371960.1_00039 hypothetical protein		AF371960.1_00039 hypothetical protein	AF371960.1_00039 hypothetical protein	AF371960.1_00039 hypothetical protein	MK689686.1_00037 hypothetical protein					AF371960.1_00039 hypothetical protein	AF371960.1_00039 hypothetical protein		MK689686.1_00037 hypothetical protein	MK689686.1_00037 hypothetical protein	MK689686.1_00037 hypothetical protein	MK689686.1_00037 hypothetical protein	MK689686.1_00037 hypothetical protein		MK689686.1_00037 hypothetical protein	AF371960.1_00039 hypothetical protein	MK689686.1_00037 hypothetical protein		AF371960.1_00039 hypothetical protein		OQ475017.1_00038 OQ475017.1 - hypothetical protein translation	AF371960.1_00039 hypothetical protein			AF371960.1_00039 hypothetical protein	AF371960.1_00039 hypothetical protein		PQ335173_PQ335174_00101 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000107	OG0000107	n0			MK689686.1_00069 hypothetical protein		MK689686.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein			MK689686.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein	MG570131.1_00069 hypothetical protein	MG570132.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein		MK689686.1_00069 hypothetical protein	AF371960.1_00071 hypothetical protein		AF371960.1_00071 hypothetical protein	AF371960.1_00071 hypothetical protein		MK689686.1_00069 hypothetical protein	AF371960.1_00071 hypothetical protein	AF371960.1_00071 hypothetical protein	MK689686.1_00069 hypothetical protein			AF371960.1_00071 hypothetical protein		AF371960.1_00071 hypothetical protein	AF371960.1_00071 hypothetical protein	AF371960.1_00071 hypothetical protein	MK689686.1_00069 hypothetical protein					AF371960.1_00071 hypothetical protein	AF371960.1_00071 hypothetical protein		MK689686.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein		MK689686.1_00069 hypothetical protein	AF371960.1_00071 hypothetical protein	MK689686.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein	AF371960.1_00071 hypothetical protein		OQ475017.1_00068 OQ475017.1 - hypothetical protein translation	AF371960.1_00071 hypothetical protein			AF371960.1_00071 hypothetical protein	AF371960.1_00071 hypothetical protein	AF371960.1_00071 hypothetical protein	
N10.HOG0000108	OG0000108	n0			MK689686.1_00119 hypothetical protein		MK689686.1_00119 hypothetical protein	MK689686.1_00119 hypothetical protein	MK689686.1_00119 hypothetical protein	GQ273492.1_00117 hypothetical protein	MK689686.1_00119 hypothetical protein	AF371960.1_00120 hypothetical protein	MK689686.1_00119 hypothetical protein	MG570131.1_00117 hypothetical protein	MG570132.1_00117 hypothetical protein	MK689686.1_00119 hypothetical protein	MK689686.1_00119 hypothetical protein	MK689686.1_00119 hypothetical protein		MK689686.1_00119 hypothetical protein	AF371960.1_00120 hypothetical protein					MK689686.1_00119 hypothetical protein	AF371960.1_00120 hypothetical protein	AF371960.1_00120 hypothetical protein	MK689686.1_00119 hypothetical protein			AF371960.1_00120 hypothetical protein		AF371960.1_00120 hypothetical protein	AF371960.1_00120 hypothetical protein	AF371960.1_00120 hypothetical protein	MK689686.1_00119 hypothetical protein					AF371960.1_00120 hypothetical protein	AF371960.1_00120 hypothetical protein		MK689686.1_00119 hypothetical protein	MK689686.1_00119 hypothetical protein	MK689686.1_00119 hypothetical protein	MK689686.1_00119 hypothetical protein	MK689686.1_00119 hypothetical protein		MK689686.1_00119 hypothetical protein	AF371960.1_00120 hypothetical protein	MK689686.1_00119 hypothetical protein	MK689686.1_00119 hypothetical protein	AF371960.1_00120 hypothetical protein		OQ475017.1_00119 OQ475017.1 - hypothetical protein translation	AF371960.1_00120 hypothetical protein			AF371960.1_00120 hypothetical protein	AF371960.1_00120 hypothetical protein	AF371960.1_00120 hypothetical protein	PQ335173_PQ335174_00029 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000109	OG0000109	n0			DNA-binding protein_refgen DNA-binding protein		DNA-binding protein_refgen DNA-binding protein		DNA-binding protein_ref_gen DNA-binding protein	GQ273492.1_00061 hypothetical protein	DNA-binding protein_ref_gen DNA-binding protein	AF371960.1_00062 hypothetical protein	DNA-binding protein_refgen DNA-binding protein	MG570131.1_00061 hypothetical protein	MG570132.1_00061 hypothetical protein	DNA-binding protein_refgen DNA-binding protein	DNA-binding protein_refgen DNA-binding protein	DNA-binding protein_refgen DNA-binding protein		DNA-binding protein_refgen DNA-binding protein		OM037668.1_00095 hypothetical protein	AF371960.1_00062 hypothetical protein	AF371960.1_00062 hypothetical protein	OM037668.1_00095 hypothetical protein		AF371960.1_00062 hypothetical protein	AF371960.1_00062 hypothetical protein	DNA-binding protein_refgen DNA-binding protein			AF371960.1_00062 hypothetical protein			AF371960.1_00062 hypothetical protein	AF371960.1_00062 hypothetical protein	DNA-binding protein DNA-binding protein					AF371960.1_00062 hypothetical protein	AF371960.1_00062 hypothetical protein		DNADNA-binding protein_refgen DNA-binding protein	DNA-binding protein_refgen DNA-binding protein	DNA-binding protein_refgen DNA-binding protein	DNA-binding protein_refgen DNA-binding protein	DNA-binding protein_refgen DNA-binding protein	OM037668.1_00095 hypothetical protein	DNA-binding protein_refgen DNA-binding protein	AF371960.1_00062 hypothetical protein	DNA-binding protein_refgen DNA-binding protein	DNA-binding protein DNA-binding protein			OQ475017.1_00060 OQ475017.1 - hypothetical protein translation	AF371960.1_00062 hypothetical protein			AF371960.1_00062 hypothetical protein			PQ335173_PQ335174_00080 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000110	OG0000110	n0			MK689686.1_00070 hypothetical protein		MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein		MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein			MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein		MK689686.1_00070 hypothetical protein	AF371960.1_00072 hypothetical protein		AF371960.1_00072 hypothetical protein	AF371960.1_00072 hypothetical protein		MK689686.1_00070 hypothetical protein	AF371960.1_00072 hypothetical protein	AF371960.1_00072 hypothetical protein	MK689686.1_00070 hypothetical protein			AF371960.1_00072 hypothetical protein		AF371960.1_00072 hypothetical protein	AF371960.1_00072 hypothetical protein	AF371960.1_00072 hypothetical protein	MK689686.1_00070 hypothetical protein					AF371960.1_00072 hypothetical protein	AF371960.1_00072 hypothetical protein		MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein		MK689686.1_00070 hypothetical protein	AF371960.1_00072 hypothetical protein	MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein	AF371960.1_00072 hypothetical protein		OQ475017.1_00069 OQ475017.1 - hypothetical protein translation	AF371960.1_00072 hypothetical protein			AF371960.1_00072 hypothetical protein	AF371960.1_00072 hypothetical protein	AF371960.1_00072 hypothetical protein	
N10.HOG0000111	OG0000111	n0			MK689686.1_00113 hypothetical protein		MK689686.1_00113 hypothetical protein		MK689686.1_00113 hypothetical protein	GQ273492.1_00111 hypothetical protein	MK689686.1_00113 hypothetical protein	AF371960.1_00114 hypothetical protein	MK689686.1_00113 hypothetical protein	MG570131.1_00111 hypothetical protein	MG570132.1_00111 hypothetical protein	MK689686.1_00113 hypothetical protein	MK689686.1_00113 hypothetical protein	MK689686.1_00113 hypothetical protein		MK689686.1_00113 hypothetical protein	AF371960.1_00114 hypothetical protein		AF371960.1_00114 hypothetical protein			MK689686.1_00113 hypothetical protein		AF371960.1_00114 hypothetical protein	MK689686.1_00113 hypothetical protein			AF371960.1_00114 hypothetical protein		AF371960.1_00114 hypothetical protein	AF371960.1_00114 hypothetical protein	AF371960.1_00114 hypothetical protein	MK689686.1_00113 hypothetical protein					AF371960.1_00114 hypothetical protein	AF371960.1_00114 hypothetical protein		MK689686.1_00113 hypothetical protein	MK689686.1_00113 hypothetical protein	MK689686.1_00113 hypothetical protein	MK689686.1_00113 hypothetical protein	MK689686.1_00113 hypothetical protein		MK689686.1_00113 hypothetical protein	AF371960.1_00114 hypothetical protein	MK689686.1_00113 hypothetical protein	MK689686.1_00113 hypothetical protein	AF371960.1_00114 hypothetical protein		OQ475017.1_00113 OQ475017.1 - hypothetical protein translation	AF371960.1_00114 hypothetical protein			AF371960.1_00114 hypothetical protein	AF371960.1_00114 hypothetical protein	AF371960.1_00114 hypothetical protein	TSIV_ORF39 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000112	OG0000112	n0			ORF070_refgen ORF070		ORF070_refgen ORF070	ORF070_ref_gen ORF070	ORF070_ref_gen ORF070		ORF069_ref_gen ORF070	AF371960.1_00077 hypothetical protein	ORF070_refgen ORF070			ORF070_refgen ORF070	ORF070_refgen ORF070	ORF070_refgen ORF070		ORF070_refgen ORF070	AF371960.1_00077 hypothetical protein		AF371960.1_00077 hypothetical protein	AF371960.1_00077 hypothetical protein		ORF070_refgen ORF070	AF371960.1_00077 hypothetical protein	AF371960.1_00077 hypothetical protein	ORF070_refgen ORF070			AF371960.1_00077 hypothetical protein		AF371960.1_00077 hypothetical protein	AF371960.1_00077 hypothetical protein	AF371960.1_00077 hypothetical protein	ORF070_refgen ORF070					AF371960.1_00077 hypothetical protein	AF371960.1_00077 hypothetical protein		ORF070_refgen ORF070	ORF070_refgen ORF070	ORF070_refgen ORF070	ORF070_refgen ORF070	ORF070_refgen ORF070		ORF070_refgen ORF070	AF371960.1_00077 hypothetical protein	ORF070_refgen ORF070	ORF070_refgen ORF070	AF371960.1_00077 hypothetical protein			AF371960.1_00077 hypothetical protein			AF371960.1_00077 hypothetical protein	AF371960.1_00077 hypothetical protein	AF371960.1_00077 hypothetical protein	
