HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N42.HOG0000104	OG0000104	n0			MK689686.1_00038 hypothetical protein						MK689686.1_00038 hypothetical protein													MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein													MK689686.1_00038 hypothetical protein																	MK689686.1_00038 hypothetical protein		MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein				MK689686.1_00038 hypothetical protein				OQ475017.1_00039 OQ475017.1 - hypothetical protein translation							
N42.HOG0000105	OG0000105	n0			MK689686.1_00104 hypothetical protein						MK689686.1_00104 hypothetical protein													MK689686.1_00104 hypothetical protein	MK689686.1_00104 hypothetical protein	MK689686.1_00104 hypothetical protein													MK689686.1_00104 hypothetical protein																	MK689686.1_00104 hypothetical protein			MK689686.1_00104 hypothetical protein	MK689686.1_00104 hypothetical protein				MK689686.1_00104 hypothetical protein				OQ475017.1_00104 OQ475017.1 - hypothetical protein translation							
N42.HOG0000106	OG0000106	n0			MK689686.1_00037 hypothetical protein						MK689686.1_00037 hypothetical protein													MK689686.1_00037 hypothetical protein	MK689686.1_00037 hypothetical protein	MK689686.1_00037 hypothetical protein													MK689686.1_00037 hypothetical protein																	MK689686.1_00037 hypothetical protein		MK689686.1_00037 hypothetical protein	MK689686.1_00037 hypothetical protein	MK689686.1_00037 hypothetical protein				MK689686.1_00037 hypothetical protein				OQ475017.1_00038 OQ475017.1 - hypothetical protein translation							
N42.HOG0000107	OG0000107	n0			DNA-binding protein_refgen DNA-binding protein						DNA-binding protein_ref_gen DNA-binding protein													DNA-binding protein_refgen DNA-binding protein	DNA-binding protein_refgen DNA-binding protein	DNA-binding protein_refgen DNA-binding protein													DNA-binding protein_refgen DNA-binding protein																	DNADNA-binding protein_refgen DNA-binding protein		DNA-binding protein_refgen DNA-binding protein	DNA-binding protein_refgen DNA-binding protein	DNA-binding protein_refgen DNA-binding protein				DNA-binding protein_refgen DNA-binding protein				OQ475017.1_00060 OQ475017.1 - hypothetical protein translation							
N42.HOG0000108	OG0000108	n0			MK689686.1_00069 hypothetical protein						MK689686.1_00069 hypothetical protein													MK689686.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein													MK689686.1_00069 hypothetical protein																	MK689686.1_00069 hypothetical protein		MK689686.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein				MK689686.1_00069 hypothetical protein				OQ475017.1_00068 OQ475017.1 - hypothetical protein translation							
N42.HOG0000109	OG0000109	n0			MK689686.1_00119 hypothetical protein						MK689686.1_00119 hypothetical protein													MK689686.1_00119 hypothetical protein	MK689686.1_00119 hypothetical protein	MK689686.1_00119 hypothetical protein													MK689686.1_00119 hypothetical protein																	MK689686.1_00119 hypothetical protein		MK689686.1_00119 hypothetical protein	MK689686.1_00119 hypothetical protein	MK689686.1_00119 hypothetical protein				MK689686.1_00119 hypothetical protein				OQ475017.1_00119 OQ475017.1 - hypothetical protein translation							
N42.HOG0000110	OG0000110	n0			MK689686.1_00070 hypothetical protein						MK689686.1_00070 hypothetical protein													MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein													MK689686.1_00070 hypothetical protein																	MK689686.1_00070 hypothetical protein		MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein				MK689686.1_00070 hypothetical protein				OQ475017.1_00069 OQ475017.1 - hypothetical protein translation							
N42.HOG0000111	OG0000111	n0			MK689686.1_00113 hypothetical protein						MK689686.1_00113 hypothetical protein													MK689686.1_00113 hypothetical protein	MK689686.1_00113 hypothetical protein	MK689686.1_00113 hypothetical protein													MK689686.1_00113 hypothetical protein																	MK689686.1_00113 hypothetical protein		MK689686.1_00113 hypothetical protein	MK689686.1_00113 hypothetical protein	MK689686.1_00113 hypothetical protein				MK689686.1_00113 hypothetical protein				OQ475017.1_00113 OQ475017.1 - hypothetical protein translation							
N42.HOG0000112	OG0000112	n0			ORF070_refgen ORF070						ORF070_ref_gen ORF070													ORF070_refgen ORF070	ORF070_refgen ORF070	ORF070_refgen ORF070													ORF070_refgen ORF070																	ORF070_refgen ORF070		ORF070_refgen ORF070	ORF070_refgen ORF070	ORF070_refgen ORF070				ORF070_refgen ORF070											
N42.HOG0000113	OG0000113	n0			MK689686.1_00020 hypothetical protein						MK689686.1_00020 hypothetical protein													MK689686.1_00020 hypothetical protein	MK689686.1_00020 hypothetical protein	MK689686.1_00020 hypothetical protein													MK689686.1_00020 hypothetical protein																	MK689686.1_00020 hypothetical protein		MK689686.1_00020 hypothetical protein	MK689686.1_00020 hypothetical protein	MK689686.1_00020 hypothetical protein				MK689686.1_00020 hypothetical protein											
N42.HOG0000114	OG0000114	n0			MK689686.1_00058 hypothetical protein						MK689686.1_00058 hypothetical protein													MK689686.1_00058 hypothetical protein	MK689686.1_00058 hypothetical protein	MK689686.1_00058 hypothetical protein													MK689686.1_00058 hypothetical protein																	MK689686.1_00058 hypothetical protein		MK689686.1_00058 hypothetical protein	MK689686.1_00058 hypothetical protein	MK689686.1_00058 hypothetical protein				MK689686.1_00058 hypothetical protein				OQ475017.1_00058 OQ475017.1 - hypothetical protein translation							
N42.HOG0000115	OG0000115	n0			GQ273492.1_00016 hypothetical protein						GQ273492.1_00016 hypothetical protein														GQ273492.1_00016 hypothetical protein																															GQ273492.1_00016 hypothetical protein												OQ475017.1_00016 OQ475017.1 - hypothetical protein translation							
N42.HOG0000116	OG0000116	n0																																																																		OQ475017.1_00011 OQ475017.1 - hypothetical protein translation							
N42.HOG0000117	OG0000117	n0																																																																		OQ475017.1_00053 OQ475017.1 - hypothetical protein translation							
N42.HOG0000118	OG0000118	n0			laminin-type epidermal growth factor-like protein_refgen laminin-type epidermal growth factor-like protein						laminin-type epidermal growth factor-like protein_ref_gen laminin-type epidermal growth factor-like protein													laminin-type epidermal growth factor-like protein_refgen laminin-type epidermal growth factor-like protein	laminin-type epidermal growth factor-like protein_refgen laminin-type epidermal growth factor-like protein	laminin-type epidermal growth factor-like protein_refgen laminin-type epidermal growth factor-like protein																														laminin-type epidermal growth factor-like protein_refgen laminin-type epidermal growth factor-like protein		laminin-type epidermal growth factor-like protein_refgen laminin-type epidermal growth factor-like protein		laminin-type epidermal growth factor-like protein_refgen laminin-type epidermal growth factor-like protein				laminin-type epidermal growth factor-like protein_refgen laminin-type epidermal growth factor-like protein											
N42.HOG0000119	OG0000120	n0			MK689686.1_00078 hypothetical protein						MK689686.1_00078 hypothetical protein													MK689686.1_00078 hypothetical protein	MK689686.1_00078 hypothetical protein	MK689686.1_00078 hypothetical protein													GQ273492.1_00077 hypothetical protein																	MK689686.1_00078 hypothetical protein		GQ273492.1_00077 hypothetical protein	GQ273492.1_00077 hypothetical protein	GQ273492.1_00077 hypothetical protein				MK689686.1_00078 hypothetical protein				OQ475017.1_00077 OQ475017.1 - hypothetical protein translation							
N42.HOG0000120	OG0000122	n0			ORF050_refgen ORF050						ORF050_ref_gen ORF050													ORF049_refgen ORF050	ORF049_refgen ORF050	ORF049_refgen ORF050													ORF050_refgen ORF050																	ORF050_refgen ORF050		ORF050_refgen ORF050	ORF050_refgen ORF050	ORF050_refgen ORF050				ORF050_refgen ORF050											
N42.HOG0000121	OG0000123	n0			MK689686.1_00111 hypothetical protein						MK689686.1_00111 hypothetical protein													MK689686.1_00111 hypothetical protein	MK689686.1_00111 hypothetical protein	MK689686.1_00111 hypothetical protein													GQ273492.1_00109 hypothetical protein																	MK689686.1_00111 hypothetical protein		GQ273492.1_00109 hypothetical protein	GQ273492.1_00109 hypothetical protein	GQ273492.1_00109 hypothetical protein				MK689686.1_00111 hypothetical protein				OQ475017.1_00111 OQ475017.1 - hypothetical protein translation							
N42.HOG0000122	OG0000126	n0			MK689686.1_00102 hypothetical protein						MK689686.1_00102 hypothetical protein													MK689686.1_00102 hypothetical protein	MK689686.1_00102 hypothetical protein	MK689686.1_00102 hypothetical protein													MK689686.1_00102 hypothetical protein																	MK689686.1_00102 hypothetical protein		MK689686.1_00102 hypothetical protein	MK689686.1_00102 hypothetical protein	MK689686.1_00102 hypothetical protein				MK689686.1_00102 hypothetical protein				OQ475017.1_00102 OQ475017.1 - hypothetical protein translation							
