Genbank Accession,Genetic Information Source,Genus,Species,Virus ('organism name'),Acronym (of organism name),Isolate,Complete or partial genome,Sequence length (bp),Gene,Submitting organisation ,Geogrpahical location sampled,Host,Collection date,Publication DOI,Paper's first author (family name),Paper title,Year paper published ,In vivo or in vitro study,Phylogenetic analysis (yes/no),Platforms and tools (sequencing and other),Notes ,Isolate at ACDP (yes/no),File name,
MH237943,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Turbot reddish body iridovirus,TRBIV,GSPIV/TW35/PT,partial,1308,MCP (partial cds),"National Pingtung University of Science and Technology, veterinary medicine, Taiwan",Taiwan,Lates calcarifer,14/09/2017,10.3390/v12060681,Tsai,PCR Detection and Phylogenetic Analysis of Megalocytivirus Isolates in Farmed Giant Sea Perch Lates calcarifer in Southern Taiwan,2020,,Yes - based on MCP region of select megaloytivirus genotypes taken from Genbank. ,Not yet reviewed,"Initially reported as TRBIV'like but phylogenetic analysis showed the majority of isolates tested in this study (all of which are uploaded onto Genbank) are in fact TRBIV.

From genbank:
Mol Type: DNA
Submitters Names:
Tsai,J.M., Huang,S.L., Yang,C.D.",,,
KX354221,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Turbot reddish body iridovirus,TRBIV,case3,partial,1341,MCP (partial cds),"Elizabeth Macarthur Agricultural Institute, NSW Department of Primary Industries, Australia",USA,Astronotus ocellatus,None given,10.3354/dao03068.,Go,Detection of infectious spleen and kidney necrosis virus (ISKNV) and turbot reddish body iridovirus (TRBIV) from archival ornamental fish samples,2016,,"Yes - Percentage sequence identity for individual genes or genomic regions was calculated with the assistance of Sequence Identity and Similarity (SIAS: http://imed.med.ucm.es/Tools/sias.html) using de fault parameters.

Phylogenetic trees were constructed in MEGA 5 using the maximum likelihood method with se quence data from the MCP and the ATPase genes. Default parameters were used, with the exception that bootstrapping with 1000 bootstrap replicates was used as a test of phylogeny. Gaps and truncated sequences were manually edited from the sequence alignments. ","All real-time PCR reactions were undertaken using an Mx3000P Multiplex Quantitative PCR System (Stratagene).

The success of each reaction was based on generation of a cycle threshold (Ct) value using the SYBR Green assay combined with analysis of the melting temperature (Tm) determined by the dissociation curve.

Each primary PCR product was sequenced in both the forward and reverse direction using the same primers as for PCR at least once. All reactions were performed by a commercial supplier (AGRF, Westmead, NSW, Australia) using ‘BigDye’ Terminator version 3.1 chemistry (Applied Biosystems) and analysed in an ABI Prism 3730 or 3730xl capillary Ge netic Analyser (Applied Biosystems). 

Se quence and ambiguous bases were assessed and resolved, res pectively, by visualisation of chromatograms using MEGA 5 (Tamura et al. 2011). Alignment and editing was performed using MEGA 5, which was also used to generate the final consensus sequence.

ontigs were assembled manually in MEGA 5
(Tamura et al. 2011) by sequential alignment against megalocytivirus gene sequences in Genbank.

The alignment of homologous gene sequences was undertaken in MEGA 5 using the ClustalW algorithm. Duplicate sequences were removed with Elimdupes (www.hiv.lanl.gov/cgi-bin/ELIMDUPES/elimdupes.","From Genbank:
Mol Type: DNA",,,
KX354222,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Turbot reddish body iridovirus,TRBIV,case2,partial,1341,MCP (partial cds),"Elizabeth Macarthur Agricultural Institute, NSW Department of Primary Industries, Australia",Australia: ex Singapore,Trichogaster lalius,1988,10.3354/dao03068.,Go,Detection of infectious spleen and kidney necrosis virus (ISKNV) and turbot reddish body iridovirus (TRBIV) from archival ornamental fish samples,2016,,"Yes - Percentage sequence identity for individual genes or genomic regions was calculated with the assistance of Sequence Identity and Similarity (SIAS: http://imed.med.ucm.es/Tools/sias.html) using de fault parameters.

Phylogenetic trees were constructed in MEGA 5 using the maximum likelihood method with se quence data from the MCP and the ATPase genes. Default parameters were used, with the exception that bootstrapping with 1000 bootstrap replicates was used as a test of phylogeny. Gaps and truncated sequences were manually edited from the sequence alignments. ","All real-time PCR reactions were undertaken using an Mx3000P Multiplex Quantitative PCR System (Stratagene).

The success of each reaction was based on generation of a cycle threshold (Ct) value using the SYBR Green assay combined with analysis of the melting temperature (Tm) determined by the dissociation curve.

Each primary PCR product was sequenced in both the forward and reverse direction using the same primers as for PCR at least once. All reactions were performed by a commercial supplier (AGRF, Westmead, NSW, Australia) using ‘BigDye’ Terminator version 3.1 chemistry (Applied Biosystems) and analysed in an ABI Prism 3730 or 3730xl capillary Ge netic Analyser (Applied Biosystems). 

Se quence and ambiguous bases were assessed and resolved, res pectively, by visualisation of chromatograms using MEGA 5 (Tamura et al. 2011). Alignment and editing was performed using MEGA 5, which was also used to generate the final consensus sequence.

ontigs were assembled manually in MEGA 5
(Tamura et al. 2011) by sequential alignment against megalocytivirus gene sequences in Genbank.

The alignment of homologous gene sequences was undertaken in MEGA 5 using the ClustalW algorithm. Duplicate sequences were removed with Elimdupes (www.hiv.lanl.gov/cgi-bin/ELIMDUPES/elimdupes.","From Genbank:
Mol Type: DNA",,,
KX354223,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Turbot reddish body iridovirus,TRBIV,case1,partial,1341,MCP (partial cds),"Elizabeth Macarthur Agricultural Institute, NSW Department of Primary Industries, Australia",Canada: ex SE Asia,Pterophyllum scalare,1986,10.3354/dao03068.,Go,Detection of infectious spleen and kidney necrosis virus (ISKNV) and turbot reddish body iridovirus (TRBIV) from archival ornamental fish samples,2016,,"Yes - Percentage sequence identity for individual genes or genomic regions was calculated with the assistance of Sequence Identity and Similarity (SIAS: http://imed.med.ucm.es/Tools/sias.html) using de fault parameters.

Phylogenetic trees were constructed in MEGA 5 using the maximum likelihood method with se quence data from the MCP and the ATPase genes. Default parameters were used, with the exception that bootstrapping with 1000 bootstrap replicates was used as a test of phylogeny. Gaps and truncated sequences were manually edited from the sequence alignments. ","All real-time PCR reactions were undertaken using an Mx3000P Multiplex Quantitative PCR System (Stratagene).

The success of each reaction was based on generation of a cycle threshold (Ct) value using the SYBR Green assay combined with analysis of the melting temperature (Tm) determined by the dissociation curve.

Each primary PCR product was sequenced in both the forward and reverse direction using the same primers as for PCR at least once. All reactions were performed by a commercial supplier (AGRF, Westmead, NSW, Australia) using ‘BigDye’ Terminator version 3.1 chemistry (Applied Biosystems) and analysed in an ABI Prism 3730 or 3730xl capillary Ge netic Analyser (Applied Biosystems). 

Se quence and ambiguous bases were assessed and resolved, res pectively, by visualisation of chromatograms using MEGA 5 (Tamura et al. 2011). Alignment and editing was performed using MEGA 5, which was also used to generate the final consensus sequence.

ontigs were assembled manually in MEGA 5
(Tamura et al. 2011) by sequential alignment against megalocytivirus gene sequences in Genbank.

The alignment of homologous gene sequences was undertaken in MEGA 5 using the ClustalW algorithm. Duplicate sequences were removed with Elimdupes (www.hiv.lanl.gov/cgi-bin/ELIMDUPES/elimdupes.","From Genbank:
Mol Type: DNA",,,
KX354227,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Turbot reddish body iridovirus,TRBIV,case3,partial,720,ATPase (partial cds),"Elizabeth Macarthur Agricultural Institute, NSW Department of Primary Industries, Australia",USA,Astronotus ocellatus,None given,10.3354/dao03068.,Go,Detection of infectious spleen and kidney necrosis virus (ISKNV) and turbot reddish body iridovirus (TRBIV) from archival ornamental fish samples,2016,,"Yes - Percentage sequence identity for individual genes or genomic regions was calculated with the assistance of Sequence Identity and Similarity (SIAS: http://imed.med.ucm.es/Tools/sias.html) using de fault parameters.

Phylogenetic trees were constructed in MEGA 5 using the maximum likelihood method with se quence data from the MCP and the ATPase genes. Default parameters were used, with the exception that bootstrapping with 1000 bootstrap replicates was used as a test of phylogeny. Gaps and truncated sequences were manually edited from the sequence alignments. ","All real-time PCR reactions were undertaken using an Mx3000P Multiplex Quantitative PCR System (Stratagene).

The success of each reaction was based on generation of a cycle threshold (Ct) value using the SYBR Green assay combined with analysis of the melting temperature (Tm) determined by the dissociation curve.

Each primary PCR product was sequenced in both the forward and reverse direction using the same primers as for PCR at least once. All reactions were performed by a commercial supplier (AGRF, Westmead, NSW, Australia) using ‘BigDye’ Terminator version 3.1 chemistry (Applied Biosystems) and analysed in an ABI Prism 3730 or 3730xl capillary Ge netic Analyser (Applied Biosystems). 

Se quence and ambiguous bases were assessed and resolved, res pectively, by visualisation of chromatograms using MEGA 5 (Tamura et al. 2011). Alignment and editing was performed using MEGA 5, which was also used to generate the final consensus sequence.

ontigs were assembled manually in MEGA 5
(Tamura et al. 2011) by sequential alignment against megalocytivirus gene sequences in Genbank.

The alignment of homologous gene sequences was undertaken in MEGA 5 using the ClustalW algorithm. Duplicate sequences were removed with Elimdupes (www.hiv.lanl.gov/cgi-bin/ELIMDUPES/elimdupes.","From Genbank:
Mol Type: DNA",,,
KX354228,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Turbot reddish body iridovirus,TRBIV,case2,partial,720,ATPase (complete cds),"Elizabeth Macarthur Agricultural Institute, NSW Department of Primary Industries, Australia",Australia: ex Singapore,Trichogaster lalius,1988,10.3354/dao03068.,Go,Detection of infectious spleen and kidney necrosis virus (ISKNV) and turbot reddish body iridovirus (TRBIV) from archival ornamental fish samples,2016,,"Yes - Percentage sequence identity for individual genes or genomic regions was calculated with the assistance of Sequence Identity and Similarity (SIAS: http://imed.med.ucm.es/Tools/sias.html) using de fault parameters.

Phylogenetic trees were constructed in MEGA 5 using the maximum likelihood method with se quence data from the MCP and the ATPase genes. Default parameters were used, with the exception that bootstrapping with 1000 bootstrap replicates was used as a test of phylogeny. Gaps and truncated sequences were manually edited from the sequence alignments. ","All real-time PCR reactions were undertaken using an Mx3000P Multiplex Quantitative PCR System (Stratagene).

The success of each reaction was based on generation of a cycle threshold (Ct) value using the SYBR Green assay combined with analysis of the melting temperature (Tm) determined by the dissociation curve.

Each primary PCR product was sequenced in both the forward and reverse direction using the same primers as for PCR at least once. All reactions were performed by a commercial supplier (AGRF, Westmead, NSW, Australia) using ‘BigDye’ Terminator version 3.1 chemistry (Applied Biosystems) and analysed in an ABI Prism 3730 or 3730xl capillary Ge netic Analyser (Applied Biosystems). 

Se quence and ambiguous bases were assessed and resolved, res pectively, by visualisation of chromatograms using MEGA 5 (Tamura et al. 2011). Alignment and editing was performed using MEGA 5, which was also used to generate the final consensus sequence.

ontigs were assembled manually in MEGA 5
(Tamura et al. 2011) by sequential alignment against megalocytivirus gene sequences in Genbank.

The alignment of homologous gene sequences was undertaken in MEGA 5 using the ClustalW algorithm. Duplicate sequences were removed with Elimdupes (www.hiv.lanl.gov/cgi-bin/ELIMDUPES/elimdupes.","From Genbank:
Mol Type: DNA",,,
KX354229,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Turbot reddish body iridovirus,TRBIV,case1,partial,720,ATPase (complete cds),"Elizabeth Macarthur Agricultural Institute, NSW Department of Primary Industries, Australia",Canada: ex SE Asia,Pterophyllum scalare,1986,10.3354/dao03068.,Go,Detection of infectious spleen and kidney necrosis virus (ISKNV) and turbot reddish body iridovirus (TRBIV) from archival ornamental fish samples,2016,,"Yes - Percentage sequence identity for individual genes or genomic regions was calculated with the assistance of Sequence Identity and Similarity (SIAS: http://imed.med.ucm.es/Tools/sias.html) using de fault parameters.

Phylogenetic trees were constructed in MEGA 5 using the maximum likelihood method with se quence data from the MCP and the ATPase genes. Default parameters were used, with the exception that bootstrapping with 1000 bootstrap replicates was used as a test of phylogeny. Gaps and truncated sequences were manually edited from the sequence alignments. ","All real-time PCR reactions were undertaken using an Mx3000P Multiplex Quantitative PCR System (Stratagene).

The success of each reaction was based on generation of a cycle threshold (Ct) value using the SYBR Green assay combined with analysis of the melting temperature (Tm) determined by the dissociation curve.

Each primary PCR product was sequenced in both the forward and reverse direction using the same primers as for PCR at least once. All reactions were performed by a commercial supplier (AGRF, Westmead, NSW, Australia) using ‘BigDye’ Terminator version 3.1 chemistry (Applied Biosystems) and analysed in an ABI Prism 3730 or 3730xl capillary Ge netic Analyser (Applied Biosystems). 

Se quence and ambiguous bases were assessed and resolved, res pectively, by visualisation of chromatograms using MEGA 5 (Tamura et al. 2011). Alignment and editing was performed using MEGA 5, which was also used to generate the final consensus sequence.

ontigs were assembled manually in MEGA 5
(Tamura et al. 2011) by sequential alignment against megalocytivirus gene sequences in Genbank.

The alignment of homologous gene sequences was undertaken in MEGA 5 using the ClustalW algorithm. Duplicate sequences were removed with Elimdupes (www.hiv.lanl.gov/cgi-bin/ELIMDUPES/elimdupes.","From Genbank:
Mol Type: DNA",,,
AY608684,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Turbot reddish body iridovirus,TRBIV,None given,partial,1286,ATPase (complete cds),"Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences, Aquacultural Diseases Division",China,Scophthalmus maximus,None given,10.1186/1743-422X-7-159,Shi,Complete genome sequence of a Megalocytivirus (family Iridoviridae) associated with turbot mortality in China,2010,,"Yes - Phylogenetic relationships of iridoviruses obtained using four protein sequence alignments: (A) major capsid protein, (B) ATPase, (C) DNA polymerase, and (D) cytosine DNA methyl transferase. 

The alignments were carried out using Clustal X 1.83 and the neighbor-joining trees obtained using PHYLIP 3.67 are shown with the statistical support indicating the robustness of the inferred branching pattern as assessed using the bootstrap test. GenBank accession numbers","The prediction of presumptive genes was carried out using the DS GENE 1.5 viral gene prediction program (Accelrys Inc.) and NCBI ORF finder. 

The deduced gene products of the 115 ORFs were compared to amino acid sequences by the NCBI BLAST program.

To determine the phylogenetic relationship the amino acid sequences of MCP, ATPase, cytosine DNA methyl transferase and DNA polymerase were used in alignments with other iridoviruses and non-iridoviruses from GenBank.","From Genbank:
Mol Type: DNA",,,
AY590687,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Turbot reddish body iridovirus,TRBIV,None given,partial,1581,MCP (complete cds),"Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences, Aquacultural Diseases Division",China,Scophthalmus maximus,None given,10.1186/1743-422X-7-159,Shi,Complete genome sequence of a Megalocytivirus (family Iridoviridae) associated with turbot mortality in China,2010,,"Yes - Phylogenetic relationships of iridoviruses obtained using four protein sequence alignments: (A) major capsid protein, (B) ATPase, (C) DNA polymerase, and (D) cytosine DNA methyl transferase. 

The alignments were carried out using Clustal X 1.83 and the neighbor-joining trees obtained using PHYLIP 3.67 are shown with the statistical support indicating the robustness of the inferred branching pattern as assessed using the bootstrap test. GenBank accession numbers","The prediction of presumptive genes was carried out using the DS GENE 1.5 viral gene prediction program (Accelrys Inc.) and NCBI ORF finder. 

The deduced gene products of the 115 ORFs were compared to amino acid sequences by the NCBI BLAST program.

To determine the phylogenetic relationship the amino acid sequences of MCP, ATPase, cytosine DNA methyl transferase and DNA polymerase were used in alignments with other iridoviruses and non-iridoviruses from GenBank.","From Genbank:
Mol Type: DNA",,,
MT521409,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,GF_MU1,complete,131276,N/A,"Kasetsart University, Department of Aquaculture, Thailand",Thailand,Lates calcarifer,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"From Genbank:
Nuc Completeness: complete
Mol Type: DNA
Isolate: liver, abdominal cavity
Laboratory host: grunt fin (GF) cells
Submitters Names:
Kayansamruaj,P.",,MT521409.1,
OR507238,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,None given,partial,595,MCP (partial cds),"Udayana University of Bali, The Faculty of Veterinary Medicine, Indonesia",Indonesia,Lates calcarifer,2022-06,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: Bali_03
Mol Type: DNA
Collection Date: 2022-06",,,
OR507239,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,None given,partial,233,MCP (partial cds),"Udayana University of Bali, The Faculty of Veterinary Medicine, Indonesia",Indonesia,Lates calcarifer,2022-06,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: Bali_02
Mol Type: DNA",,,
OQ571458,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,SDDV-ZH210608,partial,1362,MCP (complete cds),"Sun Yat-Sen University, State Key Laboratory of Biocontrol, School of Marine Sciences",China,Acanthopagrus latus,2021-06,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Fu,Y., Mao,C., Li,Y., Dong,C.",,,
OQ571459,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,SDDV-ZH210820,partial,1362,MCP (complete cds),"Sun Yat-Sen University, State Key Laboratory of Biocontrol, School of Marine Sciences",China,Acanthopagrus latus,2021-08,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Fu,Y., Mao,C., Li,Y., Dong,C.",,,
OQ571460,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,SDDV-ZH220428-1,partial,1362,MCP (complete cds),"Sun Yat-Sen University, State Key Laboratory of Biocontrol, School of Marine Sciences",China,Acanthopagrus latus,2022-04,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Fu,Y., Mao,C., Li,Y., Dong,C.",,,
OQ571461,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,SDDV-ZH220428-2,partial,1362,MCP (complete cds),"Sun Yat-Sen University, State Key Laboratory of Biocontrol, School of Marine Sciences",China,Acanthopagrus latus,2022-04,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Fu,Y., Mao,C., Li,Y., Dong,C.",,,
MT798582,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,complete,111557,N/A,"College of Fisheries, Bioinformatics Center, Department of Aquatic animal Health Management, India",India: Mangalore,Lates calcarifer,18/01/2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"From Genbank:
Strain: RSIV_121
Host: Lates calcarifer
Geo Location: India: Mangalore
Collection Date: 2018-01-18
Submitters Names
Puneeth,T.G., Girisha,S.K., Baliga,P., Shekar,M., Nithin,M.S., Naveen,B.T., Vinay,T.N., Suresh,T., Ajay,S.K., Venugopal,M.N., Ramesh,K.S.",,MT798582.1,
MT986830,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Spotted knifejaw iridovirus,Not given,SKIV-SD,complete,111198,N/A,"South China Agricultural University, College of Marine Sciences, China",China,Oplegnathus punctatus,2017-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"From Genbank:
Mol Type: DNA
Host: Oplegnathus punctatus
Geo Location: China
Collection Date: 2017-09
Submitters Names
Huang,X., Wei,J., Zheng,Q., Zhang,Y., Zhu,W., Liu,J., Hou,Y., Qin,Q., Huang,Y., Zhen,Q.",,MT986830.1,
MW139932,GenBank,Megalocytivirus,Megalocytivirus pagrus1,large yellow croaker iridovirus ,LYCIV,"	'Zhoushan'",Complete,112043,N/A,"College of Animal Sciences, Zhejiang University, Department of Veterinary Medicine, China",China,Larimichthys crocea,00/00/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"From Genbank:
Submitters Names:
Wang,G., Xu,W., Xie,J., Qin,P.
Host: Larimichthys crocea
Geo Location: China
Collection Date: 2020",,MW139932.1,
MN541862,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,Fish-KU01,partial,1273,MCP (partial cds),"Faculty of Fisheries, Kasetsart University, Aquaculture, Thailand",Thailand,Lates calcarifer,12/12/2018,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Nuc Completeness: partial
Mol Type: DNA
Isolate: liver, abdominal cavity
Submitters Names:
Kerddee,P., Kayansamruaj,P.",,,
MN541863,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,Fish-KU01,partial,670,ATPase (partial cds),"Faculty of Fisheries, Kasetsart University, Aquaculture, Thailand",Thailand,Lates calcarifer,12/12/2018,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Nuc Completeness: partial
Mol Type: DNA
Isolate: liver, abdominal cavity
Submitters Names:
Kerddee,P., Kayansamruaj,P.",,,
MT012815,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,SB1,partial,1256,MCP (partial cds),"Faculty of Science, Universiti Putra Malaysia, Department of Biology, Malaysia",Malaysia,Lates calcarifer,2019,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names
Nurliyana,M., Lukman,B., Nor-Amalina,Z., Ina-Salwany,M.Y., Mohd-Zamri,S., Amal,M.N.A.",,,
MT012816,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,SB2,partial,1256,MCP (partial cds),"Faculty of Science, Universiti Putra Malaysia, Department of Biology, Malaysia",Malaysia,Lates calcarifer,2019,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Collection Date: 2019
Submitters Names
Nurliyana,M., Lukman,B., Nor-Amalina,Z., Ina-Salwany,M.Y., Mohd-Zamri,S., Amal,M.N.A.",,,
MT012817,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,SB3,partial,1256,MCP (partial cds),"Faculty of Science, Universiti Putra Malaysia, Department of Biology, Malaysia",Malaysia,Lates calcarifer,2019,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Length: 1256
Mol Type: DNA
Collection Date: 2019
Submitters Names:
Nurliyana,M., Lukman,B., Nor-Amalina,Z., Ina-Salwany,M.Y., Mohd-Zamri,S., Amal,M.N.A.",,,
MH152403,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,SDDV_2016,partial,1362,MCP (complete cds),"King Mongkut's University of Technology Thonburi (KMUTT), Microbiology, Thailand",Thailand,Lates calcarifer,2016,DOI: 10.1111/jfd.12915,Senapin,Mortality from scale drop disease in farmed Lates calcarifer in Southeast Asia,2018,,"
Major capsid protein sequences used for phylogenetic analysis were 3 sequences of SDDV from this study, 1 sequence obtained 
from Singaporean SDDV (GenBank KR139659), 2 red seabream 
iridovirus (RSIV) sequences (GenBank AB080362 and AY285746), 
2 turbot reddish iridovirus (TBIV) sequences (GenBank AY590687 
and HM596017) and 2 infectious spleen and kidney necrosis virus 
(ISKNV) sequences (GenBank KY440040 and AB666338). 

The MCP sequence of Ranavirus (KU507315) was included as an outgroup. A 
maximumlikelihood phylogenetic tree was constructed following multiple sequence alignments using Clustal W of MEGA 7 with a 
bootstrap of 1000 replicates.","DNA sequence assembly was carried out using Geneious program 
(Biomatters Ltd). Deduced amino acid sequences were translated 
from DNA sequences using an online server of ExPASy.Homology of the nucleotide and amino acid 
sequences to sequences in the GenBank database was determined using the Blast search tool.","From GenbanK:
Mol Type: DNA",,,
MH152404,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,SDDV_2017,partial,1362,MCP (complete cds),"King Mongkut's University of Technology Thonburi (KMUTT), Microbiology, Thailand",Thailand,Lates calcarifer,2017,DOI: 10.1111/jfd.12915,Senapin,Mortality from scale drop disease in farmed Lates calcarifer in Southeast Asia,2018,,"
Major capsid protein sequences used for phylogenetic analysis were 3 sequences of SDDV from this study, 1 sequence obtained 
from Singaporean SDDV (GenBank KR139659), 2 red seabream 
iridovirus (RSIV) sequences (GenBank AB080362 and AY285746), 
2 turbot reddish iridovirus (TBIV) sequences (GenBank AY590687 
and HM596017) and 2 infectious spleen and kidney necrosis virus 
(ISKNV) sequences (GenBank KY440040 and AB666338). 

The MCP sequence of Ranavirus (KU507315) was included as an outgroup. A 
maximumlikelihood phylogenetic tree was constructed following multiple sequence alignments using Clustal W of MEGA 7 with a 
bootstrap of 1000 replicates.","DNA sequence assembly was carried out using Geneious program 
(Biomatters Ltd). Deduced amino acid sequences were translated 
from DNA sequences using an online server of ExPASy.Homology of the nucleotide and amino acid 
sequences to sequences in the GenBank database was determined using the Blast search tool.","From GenbanK:
Mol Type: DNA",,,
MH152405,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,SDDV_2018,partial,1362,MCP (complete cds),"King Mongkut's University of Technology Thonburi (KMUTT), Microbiology, Thailand",Thailand,Lates calcarifer,2018,DOI: 10.1111/jfd.12915,Senapin,Mortality from scale drop disease in farmed Lates calcarifer in Southeast Asia,2018,,"
Major capsid protein sequences used for phylogenetic analysis were 3 sequences of SDDV from this study, 1 sequence obtained 
from Singaporean SDDV (GenBank KR139659), 2 red seabream 
iridovirus (RSIV) sequences (GenBank AB080362 and AY285746), 
2 turbot reddish iridovirus (TBIV) sequences (GenBank AY590687 
and HM596017) and 2 infectious spleen and kidney necrosis virus 
(ISKNV) sequences (GenBank KY440040 and AB666338). 

The MCP sequence of Ranavirus (KU507315) was included as an outgroup. A 
maximumlikelihood phylogenetic tree was constructed following multiple sequence alignments using Clustal W of MEGA 7 with a 
bootstrap of 1000 replicates.","DNA sequence assembly was carried out using Geneious program 
(Biomatters Ltd). Deduced amino acid sequences were translated 
from DNA sequences using an online server of ExPASy.Homology of the nucleotide and amino acid 
sequences to sequences in the GenBank database was determined using the Blast search tool.","From GenbanK:
Mol Type: DNA",,,
MH152406,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,SDDV_2016,partial,1047,ORF_030L gene (complete cds),"King Mongkut's University of Technology Thonburi (KMUTT), Microbiology, Thailand",Thailand,Lates calcarifer,2016,DOI: 10.1111/jfd.12915,Senapin,Mortality from scale drop disease in farmed Lates calcarifer in Southeast Asia,2018,,"
Major capsid protein sequences used for phylogenetic analysis were 3 sequences of SDDV from this study, 1 sequence obtained 
from Singaporean SDDV (GenBank KR139659), 2 red seabream 
iridovirus (RSIV) sequences (GenBank AB080362 and AY285746), 
2 turbot reddish iridovirus (TBIV) sequences (GenBank AY590687 
and HM596017) and 2 infectious spleen and kidney necrosis virus 
(ISKNV) sequences (GenBank KY440040 and AB666338). 

The MCP sequence of Ranavirus (KU507315) was included as an outgroup. A 
maximumlikelihood phylogenetic tree was constructed following multiple sequence alignments using Clustal W of MEGA 7 with a 
bootstrap of 1000 replicates.","DNA sequence assembly was carried out using Geneious program 
(Biomatters Ltd). Deduced amino acid sequences were translated 
from DNA sequences using an online server of ExPASy.Homology of the nucleotide and amino acid 
sequences to sequences in the GenBank database was determined using the Blast search tool.","From GenbanK:
Mol Type: DNA",,,
MH152407,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,SDDV_2016,partial,738,ORF_030L gene (complete cds),"King Mongkut's University of Technology Thonburi (KMUTT), Microbiology, Thailand",Thailand,Lates calcarifer,2016,DOI: 10.1111/jfd.12915,Senapin,Mortality from scale drop disease in farmed Lates calcarifer in Southeast Asia,2018,,"
Major capsid protein sequences used for phylogenetic analysis were 3 sequences of SDDV from this study, 1 sequence obtained 
from Singaporean SDDV (GenBank KR139659), 2 red seabream 
iridovirus (RSIV) sequences (GenBank AB080362 and AY285746), 
2 turbot reddish iridovirus (TBIV) sequences (GenBank AY590687 
and HM596017) and 2 infectious spleen and kidney necrosis virus 
(ISKNV) sequences (GenBank KY440040 and AB666338). 

The MCP sequence of Ranavirus (KU507315) was included as an outgroup. A 
maximumlikelihood phylogenetic tree was constructed following multiple sequence alignments using Clustal W of MEGA 7 with a 
bootstrap of 1000 replicates.","DNA sequence assembly was carried out using Geneious program 
(Biomatters Ltd). Deduced amino acid sequences were translated 
from DNA sequences using an online server of ExPASy.Homology of the nucleotide and amino acid 
sequences to sequences in the GenBank database was determined using the Blast search tool.","From GenbanK:
Mol Type: DNA",,,
